"gene_symbol","mean_score","ensembl_id","entrez_id","uniprot_ids","n_diseases","total_pmids","mean_evidence"
"GRIN2D",1,"ENSG00000105464",2906,"O15399; Q59G17",1,1,0.954372623574145
"RTN4R",1,"ENSG00000040608",65078,"Q9BZR6",1,3,0.769230769230769
"CHI3L1",0.95,"ENSG00000133048",1116,"P36222",1,0,0.75
"GRIN2C",0.95,"ENSG00000161509",2905,"Q8IW23; A0A8D9PH81; Q14957; H0Y2V8; O15398",1,3,0.954887218045113
"SLC6A4",0.941666666666667,"ENSG00000108576",6532,"B2R7Y7; P31645",6,24,0.809750425837727
"BDNF",0.933333333333333,"ENSG00000176697",627,"P23560; A0A0E3SU01",6,20,0.874571369490904
"GABBR1",0.925,"ENSG00000204681",2550,"Q8IW08; C9J342; Q59HG8; A0A1U9X7R0; Q5SUJ9; Q9UBS5",2,4,0.947764900662252
"OXT",0.925,"ENSG00000101405",5020,"X5D7M6; P01178",4,13,0.895286816459262
"IL6",0.9125,"ENSG00000136244",3569,"P05231; B5MC21; B4DNQ5; B4DVM1; Q75MH2",4,9,0.92662365447988
"TNF",0.9125,"ENSG00000232810",7124,"Q5STB3; P01375",4,12,0.881476389979925
"GABBR2",0.9,"ENSG00000136928",9568,"H9NIL8; O75899",1,1,0.972972972972973
"INS",0.9,"ENSG00000254647",3630,"P01308; I3WAC9",1,6,1
"KMO",0.9,"ENSG00000117009",8564,"A8K693; O15229",1,4,0.846153846153846
"NPY",0.9,"ENSG00000122585",4852,"A4D158; P01303",3,10,0.879959756020877
"PPARA",0.9,"ENSG00000186951",5465,"F1D8S4; Q07869",1,2,0.904761904761905
"RELN",0.9,"ENSG00000189056",5649,"P78509",4,20,0.928883643675146
"SETD1A",0.9,"ENSG00000099381",9739,"O15047",1,2,0.96
"SOD1",0.9,"ENSG00000142168",6647,"V9HWC9; P00441",1,3,1
"SYN2",0.9,"ENSG00000157152",6854,"B3KRB3; Q86VA8; Q92777; Q59GM1",1,0,0.9
"SYNE1",0.9,"ENSG00000131018",23345,"A0A0C4DG40; B4E3R1; F8WAI0; B7Z9Y6; Q8NF91",1,2,1
"GABRR1",0.9,"ENSG00000146276",2569,"P24046",2,3,0.942406692406692
"SHANK3",0.9,"ENSG00000251322",85358,"",2,4,0.939695550351288
"S100B",0.883333333333333,"ENSG00000160307",6285,"P04271; A0A0S2Z4C5",3,14,0.906153074256522
"COMT",0.88,"ENSG00000093010",1312,"A0A140VJG8; P21964",5,16,0.822269302114362
"DRD2",0.875,"ENSG00000149295",1813,"P14416",4,16,0.874135375494071
"FOXP2",0.875,"ENSG00000128573",93986,"Q8N6B6; Q8N6B5; B7ZLK5; O15409; X5D2H2",2,6,0.736764705882353
"ZNF804A",0.875,"ENSG00000170396",91752,"Q7Z570",2,8,0.921791443850267
"GRIN2B",0.866666666666667,"ENSG00000273079",2904,"A0A8D9PHB2; Q13224",3,9,0.937691443562961
"IL1B",0.866666666666667,"ENSG00000125538",3553,"P01584",3,10,0.894618582181777
