"gene_symbol","geneid","ensemblid","uniprotids","score"
"IL6",3569,"ENSG00000136244","P05231; B5MC21; B4DNQ5; B4DVM1; Q75MH2",1
"COMT",1312,"ENSG00000093010","A0A140VJG8; P21964",1
"HTR1A",3350,"ENSG00000178394","A8K5W4; Q5ZGX3; P08908",1
"GABBR1",2550,"ENSG00000204681","Q8IW08; C9J342; Q59HG8; A0A1U9X7R0; Q5SUJ9; Q9UBS5",1
"DISC1",27185,"ENSG00000162946","C4P0C8; C4P0A4; C4P096; C4P094; C4P0D1; C4P0C4; C4P098; Q9NRI5; C4P0D2; C4P0A5; C4P0D3; C4P0D0",1
"DRD3",1814,"ENSG00000151577","X5D2G4; P35462; E9PCM4; A1A4V4; A8K8E4",1
"ZNF804A",91752,"ENSG00000170396","Q7Z570",1
"HTR2A",3356,"ENSG00000102468","P28223",1
"MECP2",4204,"ENSG00000169057","Q59FJ6; A0A140VKC4; P51608; D3YJ43",1
"CHRNA7",1139,"ENSG00000175344","P36544",1
"TNF",7124,"ENSG00000232810","Q5STB3; P01375",1
"GRIN2D",2906,"ENSG00000105464","O15399; Q59G17",1
"RTN4R",65078,"ENSG00000040608","Q9BZR6",1
"DRD2",1813,"ENSG00000149295","P14416",1
"BDNF",627,"ENSG00000176697","P23560; A0A0E3SU01",1
"SLC6A4",6532,"ENSG00000108576","B2R7Y7; P31645",1
"ERBB4",2066,"ENSG00000178568","Q15303",1
"GRIN2B",2904,"ENSG00000273079","A0A8D9PHB2; Q13224",1
"SLC6A4",6532,"ENSG00000108576","P31645; B2R7Y7",1
"FMR1",2332,"ENSG00000102081","Q06787",1
"CNTNAP2",26047,"ENSG00000174469","Q9UHC6; B2RCH4; A0A090N7T7",1
"GAD1",2571,"ENSG00000128683","A0A0S2Z3V5; Q99259; Q8IVA8",1
"NPY",4852,"ENSG00000122585","A4D158; P01303",1
"IL6",3569,"ENSG00000136244","P05231; B4DVM1; Q75MH2; B5MC21; B4DNQ5",0.95
"DTNBP1",84062,"ENSG00000047579","Q96EV8; D6RJC6; A0A087WYP9; A0A0S2Z5U8; A6NFV8",0.95
"NPY",4852,"ENSG00000122585","A4D158; P01303",0.95
"CACNA1C",775,"ENSG00000151067","Q59GU3; F5H522; Q5V9X9; E9PDI6; A0A804HIJ8; A0A804HI37; A0A804HKC4; A0A804HJB6; A0A0A0MR67; Q13936; A0A0A0MSA1",0.95
"DAO",1610,"ENSG00000110887","A0A024RBI1; P14920",0.95
"SLC6A4",6532,"ENSG00000108576","P31645; B2R7Y7",0.95
"IL10",3586,"ENSG00000136634","Q6FGW4; P22301",0.95
"RELN",5649,"ENSG00000189056","P78509",0.95
"GRIN2C",2905,"ENSG00000161509","Q8IW23; A0A8D9PH81; Q14957; H0Y2V8; O15398",0.95
"OXT",5020,"ENSG00000101405","X5D7M6; P01178",0.95
"GRM5",2915,"ENSG00000168959","P41594; A8K5P7",0.95
"HTR2C",3358,"ENSG00000147246","P28335; K9J958",0.95
"OXT",5020,"ENSG00000101405","P01178; X5D7M6",0.95
"BDNF",627,"ENSG00000176697","P23560; A0A0E3SU01",0.95
"NR3C1",2908,"ENSG00000113580","E5KQF5; F1D8N4; E5KQF6; P04150",0.95
"CHI3L1",1116,"ENSG00000133048","P36222",0.95
"CRH",1392,"ENSG00000147571","A0A0S2Z478; P06850",0.95
"AKT1",207,"ENSG00000142208","P31749; B0LPE5; B3KVH4",0.95
"OPRM1",4988,"ENSG00000112038","G8XRH4; L0E130; B8K2Q5; G8XRH5; P35372",0.95
"TNF",7124,"ENSG00000232810","P01375; Q5STB3",0.95
"GABRR1",2569,"ENSG00000146276","P24046",0.95
"S100B",6285,"ENSG00000160307","P04271; A0A0S2Z4C5",0.95
"ANK3",288,"ENSG00000151150","Q8NAK2; Q12955",0.95
"GRIN2A",2903,"ENSG00000183454","Q547U9; A0A890YTL4; Q12879; Q59EW6",0.95
"MTHFR",4524,"ENSG00000177000","P42898; Q59GJ6; Q8IU67",0.95
"CNTNAP2",26047,"ENSG00000174469","A0A090N7T7; Q9UHC6; B2RCH4",0.9
"SYNE1",23345,"ENSG00000131018","A0A0C4DG40; B4E3R1; F8WAI0; B7Z9Y6; Q8NF91",0.9
"BRD1",23774,"ENSG00000100425","Q59G93; O95696",0.9
"SYN2",6854,"ENSG00000157152","B3KRB3; Q86VA8; Q92777; Q59GM1",0.9
"FOXP2",93986,"ENSG00000128573","Q8N6B6; Q8N6B5; B7ZLK5; O15409; X5D2H2",0.9
"GRIN2A",2903,"ENSG00000183454","Q12879; A0A890YTL4; Q547U9; Q59EW6",0.9
"ANK3",288,"ENSG00000151150","Q8NAK2; Q12955",0.9
"NOTCH4",4855,"ENSG00000204301","Q99466; A0A1U9X983",0.9
"CSMD1",64478,"ENSG00000183117","Q96PZ7; Q59FF8",0.9
"SETD1A",9739,"ENSG00000099381","O15047",0.9
"NRXN1",9378,"ENSG00000179915","A0A0D9SEM5; A0A1D5RMU6; H7BYC7; E7EQN4; E7ERL8; Q9ULB1; H0Y568; P58400; A0A0D9SEQ7",0.9
"BDNF",627,"ENSG00000176697","P23560; A0A0E3SU01",0.9
"GABBR2",9568,"ENSG00000136928","H9NIL8; O75899",0.9
"HTR2A",3356,"ENSG00000102468","P28223",0.9
"IL1B",3553,"ENSG00000125538","P01584",0.9
"IGF1",3479,"ENSG00000017427","Q5U743; Q59GC5; P05019; Q13429",0.9
"TPH2",121278,"ENSG00000139287","Q8IWU9",0.9
"SLC6A2",6530,"ENSG00000103546","P23975",0.9
