"gene_symbol","geneid","ensemblid","geneNcbiType","uniprotids","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","score","yearInitial","yearFinal","numPMIDs","evidence_index"
"IL6",3569,"ENSG00000136244","protein-coding","P05231; B5MC21; B4DNQ5; B4DVM1; Q75MH2","","Depression","disease","C0011570",1,2009,2015,5,0.902439024390244
"COMT",1312,"ENSG00000093010","protein-coding","A0A140VJG8; P21964","Enzyme","Schizophrenias","disease","C0036341",1,2005,2010,4,0.832020997375328
"HTR1A",3350,"ENSG00000178394","protein-coding","A8K5W4; Q5ZGX3; P08908","G-protein coupled receptor","Depression","disease","C0011570",1,2014,2014,5,0.930434782608696
"GABBR1",2550,"ENSG00000204681","protein-coding","Q8IW08; C9J342; Q59HG8; A0A1U9X7R0; Q5SUJ9; Q9UBS5","G-protein coupled receptor","Schizophrenias","disease","C0036341",1,2007,2013,2,0.920529801324503
"DISC1",27185,"ENSG00000162946","protein-coding","C4P0C8; C4P0A4; C4P096; C4P094; C4P0D1; C4P0C4; C4P098; Q9NRI5; C4P0D2; C4P0A5; C4P0D3; C4P0D0","","Schizophrenias","disease","C0036341",1,2010,2011,2,0.94269340974212
"DRD3",1814,"ENSG00000151577","protein-coding","X5D2G4; P35462; E9PCM4; A1A4V4; A8K8E4","G-protein coupled receptor","Schizophrenias","disease","C0036341",1,1999,1999,1,0.77639751552795
"ZNF804A",91752,"ENSG00000170396","protein-coding","Q7Z570","","Schizophrenias","disease","C0036341",1,2008,2018,3,0.911764705882353
"HTR2A",3356,"ENSG00000102468","protein-coding","P28223","G-protein coupled receptor","Schizophrenias","disease","C0036341",1,2004,2008,2,0.843575418994413
"MECP2",4204,"ENSG00000169057","protein-coding","Q59FJ6; A0A140VKC4; P51608; D3YJ43","Epigenetic regulator","Childhood autism","disease","C0004352",1,2004,2010,3,0.909090909090909
"CHRNA7",1139,"ENSG00000175344","protein-coding","P36544","Ion channel","Schizophrenias","disease","C0036341",1,2011,2014,3,0.909090909090909
"TNF",7124,"ENSG00000232810","protein-coding","Q5STB3; P01375","Signaling","Schizophrenias","disease","C0036341",1,2006,2006,1,0.81578947368421
"GRIN2D",2906,"ENSG00000105464","protein-coding","O15399; Q59G17","Ion channel","Schizophrenias","disease","C0036341",1,2010,2010,1,0.954372623574145
"RTN4R",65078,"ENSG00000040608","protein-coding","Q9BZR6","","Schizophrenias","disease","C0036341",1,2004,2017,3,0.769230769230769
"DRD2",1813,"ENSG00000149295","protein-coding","P14416","G-protein coupled receptor","Schizophrenias","disease","C0036341",1,2000,2011,4,0.866666666666667
