"gene_symbol","n_diseases","mean_score","max_score","ensembl_id","entrez_id","uniprot_ids","protein_classes","diseases","total_pmids","mean_evidence","years_studied"
"GRIN2D",1,1,1,"ENSG00000105464",2906,"O15399; Q59G17","Ion channel","Schizophrenias",1,0.954372623574145,"2010-2010"
"RTN4R",1,1,1,"ENSG00000040608",65078,"Q9BZR6","","Schizophrenias",3,0.769230769230769,"2004-2017"
"CHI3L1",1,0.95,0.95,"ENSG00000133048",1116,"P36222","","Schizophrenias",0,0.75,"NA-NA"
"GRIN2C",1,0.95,0.95,"ENSG00000161509",2905,"Q8IW23; A0A8D9PH81; Q14957; H0Y2V8; O15398","Ion channel","Schizophrenias",3,0.954887218045113,"2008-2014"
"SLC6A4",6,0.941666666666667,1,"ENSG00000108576",6532,"B2R7Y7; P31645","Transporter","Depression; Bipolar Disorders; Disorders, Obsessive-Compulsive; Anxiety Disorder; Childhood autism; Schizophrenias",24,0.809750425837727,"1997-2015"
"BDNF",6,0.933333333333333,1,"ENSG00000176697",627,"P23560; A0A0E3SU01","Signaling","Bipolar Disorders; Depression; Schizophrenias; Disorders, Obsessive-Compulsive; Post-traumatic stress disorder; Childhood autism",20,0.874571369490904,"NA-NA"
"GABBR1",2,0.925,1,"ENSG00000204681",2550,"Q8IW08; C9J342; Q59HG8; A0A1U9X7R0; Q5SUJ9; Q9UBS5","G-protein coupled receptor","Schizophrenias; Childhood autism",4,0.947764900662252,"2006-2013"
"OXT",4,0.925,0.95,"ENSG00000101405",5020,"X5D7M6; P01178","Signaling","Schizophrenias; Anxiety Disorder; Childhood autism; Depression",13,0.895286816459262,"2004-2014"
"IL6",4,0.9125,1,"ENSG00000136244",3569,"P05231; B5MC21; B4DNQ5; B4DVM1; Q75MH2","","Depression; Schizophrenias; Bipolar Disorders; Childhood autism",9,0.92662365447988,"1994-2015"
"TNF",4,0.9125,1,"ENSG00000232810",7124,"Q5STB3; P01375","Signaling","Schizophrenias; Depression; Bipolar Disorders; Anxiety Disorder",12,0.881476389979925,"2006-2015"
"GABBR2",1,0.9,0.9,"ENSG00000136928",9568,"H9NIL8; O75899","G-protein coupled receptor","Childhood autism",1,0.972972972972973,"2009-2009"
"INS",1,0.9,0.9,"ENSG00000254647",3630,"P01308; I3WAC9","","Bipolar Disorders",6,1,"1970-2015"
"KMO",1,0.9,0.9,"ENSG00000117009",8564,"A8K693; O15229","","Schizophrenias",4,0.846153846153846,"2011-2014"
"NPY",3,0.9,1,"ENSG00000122585",4852,"A4D158; P01303","Signaling","Depression; Anxiety Disorder; Schizophrenias",10,0.879959756020877,"1998-2015"
"PPARA",1,0.9,0.9,"ENSG00000186951",5465,"F1D8S4; Q07869","Nuclear receptor","Schizophrenias",2,0.904761904761905,"2013-2015"
"RELN",4,0.9,0.95,"ENSG00000189056",5649,"P78509","","Bipolar Disorders; Schizophrenias; Childhood autism; Depression",20,0.928883643675146,"2000-2021"
"SETD1A",1,0.9,0.9,"ENSG00000099381",9739,"O15047","","Schizophrenias",2,0.96,"2014-2016"
"SOD1",1,0.9,0.9,"ENSG00000142168",6647,"V9HWC9; P00441","Enzyme","Depression",3,1,"1999-2012"
"SYN2",1,0.9,0.9,"ENSG00000157152",6854,"B3KRB3; Q86VA8; Q92777; Q59GM1","Cellular structure","Schizophrenias",0,0.9,"NA-NA"
"SYNE1",1,0.9,0.9,"ENSG00000131018",23345,"A0A0C4DG40; B4E3R1; F8WAI0; B7Z9Y6; Q8NF91","","Bipolar Disorders",2,1,"2013-2014"
"GABRR1",2,0.9,0.95,"ENSG00000146276",2569,"P24046","Ion channel","Schizophrenias; Bipolar Disorders",3,0.942406692406692,"2010-2010"
"SHANK3",2,0.9,0.95,"ENSG00000251322",85358,"","","Childhood autism; Schizophrenias",4,0.939695550351288,"NA-NA"
"S100B",3,0.883333333333333,0.95,"ENSG00000160307",6285,"P04271; A0A0S2Z4C5","Calcium-binding protein","Schizophrenias; Depression; Bipolar Disorders",14,0.906153074256522,"1996-2012"
"COMT",5,0.88,1,"ENSG00000093010",1312,"A0A140VJG8; P21964","Enzyme","Schizophrenias; Bipolar Disorders; Disorders, Obsessive-Compulsive; Childhood autism; Depression",16,0.822269302114362,"NA-NA"
"DRD2",4,0.875,1,"ENSG00000149295",1813,"P14416","G-protein coupled receptor","Schizophrenias; Anxiety Disorder; Depression; Bipolar Disorders",16,0.874135375494071,"2000-2014"
"FOXP2",2,0.875,0.9,"ENSG00000128573",93986,"Q8N6B6; Q8N6B5; B7ZLK5; O15409; X5D2H2","","Schizophrenias; Childhood autism",6,0.736764705882353,"2004-2014"
"ZNF804A",2,0.875,1,"ENSG00000170396",91752,"Q7Z570","","Schizophrenias; Bipolar Disorders",8,0.921791443850267,"2008-2018"
"GRIN2B",3,0.866666666666667,1,"ENSG00000273079",2904,"A0A8D9PHB2; Q13224","Ion channel","Schizophrenias; Bipolar Disorders; Depression",9,0.937691443562961,"2007-2014"
"IL1B",3,0.866666666666667,0.9,"ENSG00000125538",3553,"P01584","","Depression; Schizophrenias; Bipolar Disorders",10,0.894618582181777,"2004-2015"
"HTR2A",5,0.86,1,"ENSG00000102468",3356,"P28223","G-protein coupled receptor","Schizophrenias; Disorders, Obsessive-Compulsive; Depression; Bipolar Disorders; Childhood autism",13,0.83774286157666,"2004-2014"
"ABAT",1,0.85,0.85,"ENSG00000183044",18,"X5D8S1; P80404","Enzyme","Childhood autism",1,0.973684210526316,"2005-2005"
"ABCB1",2,0.85,0.85,"ENSG00000085563",5243,"P08183; A4D1D2","Transporter","Depression; Schizophrenias",8,0.978260869565217,"2011-2015"
"AKT1",3,0.85,0.95,"ENSG00000142208",207,"P31749; B0LPE5; B3KVH4","Kinase","Schizophrenias; Bipolar Disorders; Depression",14,0.926207165109034,"2003-2014"
"ALB",1,0.85,0.85,"ENSG00000163631",213,"P02768","Transporter","Depression",1,0.90625,"1996-1996"
"ARTN",1,0.85,0.85,"ENSG00000117407",9048,"Q5T4W7","Signaling","Depression",5,0.894736842105263,"2008-2013"
"CHL1",1,0.85,0.85,"ENSG00000134121",10752,"A0A087X0M8; O00533","","Schizophrenias",2,0.928571428571429,"2002-2005"
"CLDN5",1,0.85,0.85,"ENSG00000184113",7122,"D3DX19; O00501","Cell-cell junction","Schizophrenias",2,0.909090909090909,"2004-2005"
"CSF3",1,0.85,0.85,"ENSG00000108342",1440,"Q6FH65; P09919; Q8N4W3","","Depression",1,0.806451612903226,"1996-1996"
"CYP2C19",1,0.85,0.85,"ENSG00000165841",1557,"P33261","","Depression",4,0.782608695652174,"2001-2012"
"FEZ1",1,0.85,0.85,"ENSG00000149557",9638,"Q99689","","Schizophrenias",2,0.875,"2008-2011"
"FZD3",1,0.85,0.85,"ENSG00000104290",7976,"Q9NPG1","G-protein coupled receptor","Schizophrenias",2,0.714285714285714,"2004-2011"
"GHRL",1,0.85,0.85,"ENSG00000157017",51738,"Q9UBU3","","Depression",1,0.962962962962963,"2009-2009"
"GRM5",2,0.85,0.95,"ENSG00000168959",2915,"P41594; A8K5P7","G-protein coupled receptor","Schizophrenias; Bipolar Disorders",4,0.962962962962963,"2013-2014"
